instance_id,cls_id,in_frame,total_proj,ratio
1_1_1_2_25,25,500,500,1.000000
1_2_1_4_25,25,499,499,1.000000
1_4_1_5_25,25,500,500,1.000000
1_5_1_6_25,25,500,500,1.000000
1_6_1_7_25,25,454,500,0.908000
1_7_1_8_25,25,499,499,1.000000
1_8_1_9_25,25,500,500,1.000000
1_9_1_10_25,25,496,496,1.000000
1_10_1_11_25,25,486,486,1.000000
1_11_1_12_25,25,487,487,1.000000
1_12_1_13_25,25,465,465,1.000000
1_13_1_14_25,25,455,455,1.000000
1_14_1_145_25,25,450,450,1.000000
1_145_1_146_25,25,499,499,1.000000
1_146_1_147_25,25,495,495,1.000000
1_147_1_148_25,25,497,497,1.000000
1_148_1_149_25,25,208,208,1.000000
1_149_1_150_25,25,72,72,1.000000
1_150_1_151_25,25,206,206,1.000000
1_151_1_152_25,25,345,405,0.851852
1_152_1_153_25,25,227,394,0.576142
1_153_1_154_25,25,202,273,0.739927
1_154_1_155_25,25,281,389,0.722365
1_155_1_156_25,25,390,417,0.935252
1_156_1_157_25,25,379,386,0.981865
1_157_1_158_25,25,410,410,1.000000
1_158_1_159_25,25,439,439,1.000000
1_159_1_160_25,25,428,432,0.990741
1_160_1_161_25,25,355,453,0.783664
1_161_1_162_25,25,422,444,0.950450
1_162_1_163_25,25,286,438,0.652968
1_163_1_164_25,25,390,390,1.000000
1_164_1_165_25,25,396,415,0.954217
1_165_1_166_25,25,396,405,0.977778
1_166_1_167_25,25,415,415,1.000000
1_167_1_168_25,25,411,436,0.942661
1_168_1_169_25,25,366,424,0.863208
1_169_1_170_25,25,386,396,0.974747
1_170_1_171_25,25,478,478,1.000000
1_171_1_172_25,25,477,477,1.000000
1_172_1_746_25,25,0,243,0.000000
1_746_1_747_25,25,212,262,0.809160
1_747_1_748_25,25,263,263,1.000000
1_748_1_749_25,25,340,340,1.000000
1_749_1_750_25,25,480,486,0.987654
1_750_1_754_25,25,478,478,1.000000
1_754_1_755_25,25,478,482,0.991701
1_16_1_17_18,18,373,373,1.000000
1_17_1_19_18,18,390,390,1.000000
1_19_1_20_18,18,357,357,1.000000
1_20_1_21_18,18,450,450,1.000000
1_21_1_22_18,18,422,422,1.000000
1_22_1_23_18,18,330,330,1.000000
1_23_1_24_18,18,483,483,1.000000
1_24_1_25_18,18,356,356,1.000000
1_25_1_26_18,18,377,377,1.000000
1_26_1_27_18,18,422,422,1.000000
1_27_1_541_18,18,395,395,1.000000
1_541_1_542_18,18,435,435,1.000000
1_542_1_543_18,18,455,455,1.000000
1_543_1_544_18,18,0,33,0.000000
1_544_1_545_18,18,0,202,0.000000
1_545_1_546_18,18,236,236,1.000000
1_546_1_547_18,18,451,451,1.000000
1_547_1_548_18,18,0,43,0.000000
1_548_1_549_18,18,204,220,0.927273
1_549_1_550_18,18,0,3,0.000000
1_550_1_551_18,18,420,420,1.000000
1_551_1_552_18,18,0,135,0.000000
1_552_1_553_18,18,453,453,1.000000
1_553_1_554_18,18,366,366,1.000000
1_554_1_555_18,18,373,373,1.000000
1_555_1_556_18,18,388,388,1.000000
1_556_1_557_18,18,366,366,1.000000
1_557_1_558_18,18,370,370,1.000000
1_558_1_559_18,18,375,375,1.000000
1_559_1_560_18,18,278,278,1.000000
1_560_1_561_18,18,272,272,1.000000
1_29_1_30_4,4,490,490,1.000000
1_30_1_32_4,4,487,487,1.000000
1_32_1_33_4,4,422,490,0.861224
1_33_1_34_4,4,480,480,1.000000
1_34_1_35_4,4,485,485,1.000000
1_35_1_36_4,4,476,476,1.000000
1_36_1_37_4,4,0,362,0.000000
1_37_1_38_4,4,141,141,1.000000
1_38_1_39_4,4,124,124,1.000000
1_39_1_40_4,4,260,260,1.000000
1_40_1_41_4,4,0,7,0.000000
1_41_1_42_4,4,339,340,0.997059
1_42_1_43_4,4,0,157,0.000000
1_43_1_44_4,4,330,330,1.000000
1_44_1_45_4,4,372,394,0.944162
1_45_1_46_4,4,301,466,0.645923
1_46_1_47_4,4,406,406,1.000000
1_47_1_121_4,4,327,409,0.799511
1_121_1_122_4,4,484,484,1.000000
1_122_1_123_4,4,486,486,1.000000
1_123_1_124_4,4,482,482,1.000000
1_124_1_125_4,4,342,406,0.842365
1_125_1_126_4,4,0,259,0.000000
1_126_1_127_4,4,179,179,1.000000
1_127_1_128_4,4,137,137,1.000000
1_128_1_129_4,4,124,124,1.000000
1_129_1_130_4,4,100,130,0.769231
1_130_1_131_4,4,0,0,0.000000
1_131_1_132_4,4,0,219,0.000000
1_132_1_133_4,4,159,159,1.000000
1_133_1_134_4,4,147,147,1.000000
1_134_1_135_4,4,263,263,1.000000
1_135_1_136_4,4,169,169,1.000000
1_136_1_137_4,4,0,76,0.000000
1_137_1_138_4,4,379,461,0.822126
1_138_1_139_4,4,303,388,0.780928
1_139_1_140_4,4,0,130,0.000000
1_140_1_141_4,4,353,358,0.986034
1_141_1_142_4,4,88,88,1.000000
1_142_1_143_4,4,425,475,0.894737
1_143_1_144_4,4,467,468,0.997863
1_49_1_50_21,21,447,447,1.000000
1_50_1_52_21,21,248,248,1.000000
1_52_1_53_21,21,476,476,1.000000
1_53_1_54_21,21,334,461,0.724512
1_54_1_55_21,21,355,355,1.000000
1_55_1_56_21,21,489,489,1.000000
1_56_1_57_21,21,441,444,0.993243
1_57_1_58_21,21,427,427,1.000000
1_58_1_59_21,21,383,436,0.878440
1_59_1_60_21,21,464,464,1.000000
1_60_1_61_21,21,479,479,1.000000
1_61_1_62_21,21,482,482,1.000000
1_62_1_63_21,21,411,411,1.000000
1_63_1_64_21,21,459,461,0.995662
1_64_1_65_21,21,457,457,1.000000
1_65_1_66_21,21,407,407,1.000000
1_66_1_67_21,21,294,299,0.983278
1_67_1_68_21,21,271,271,1.000000
1_68_1_69_21,21,0,36,0.000000
1_69_1_70_21,21,414,414,1.000000
1_70_1_71_21,21,419,419,1.000000
1_71_1_72_21,21,0,203,0.000000
1_72_1_73_21,21,0,97,0.000000
1_73_1_74_21,21,1,135,0.007407
1_74_1_75_21,21,151,151,1.000000
1_75_1_76_21,21,389,430,0.904651
1_76_1_77_21,21,0,213,0.000000
1_77_1_78_21,21,0,7,0.000000
1_78_1_79_21,21,299,299,1.000000
1_79_1_80_21,21,391,391,1.000000
1_80_1_81_21,21,396,464,0.853448
1_81_1_82_21,21,422,422,1.000000
1_82_1_83_21,21,260,260,1.000000
1_83_1_84_21,21,483,483,1.000000
1_84_1_85_21,21,422,467,0.903640
1_85_1_86_21,21,372,449,0.828508
1_88_1_89_14,14,346,346,1.000000
1_89_1_90_14,14,366,366,1.000000
1_90_1_91_14,14,305,305,1.000000
1_91_1_92_14,14,291,291,1.000000
1_92_1_94_14,14,307,307,1.000000
1_94_1_95_14,14,349,349,1.000000
1_95_1_96_14,14,369,369,1.000000
1_96_1_97_14,14,308,308,1.000000
1_97_1_98_14,14,0,159,0.000000
1_98_1_99_14,14,337,337,1.000000
1_99_1_100_14,14,275,275,1.000000
1_100_1_101_14,14,310,310,1.000000
1_101_1_102_14,14,410,410,1.000000
1_102_1_103_14,14,318,318,1.000000
1_103_1_104_14,14,361,361,1.000000
1_104_1_105_14,14,0,181,0.000000
1_105_1_106_14,14,225,270,0.833333
1_106_1_107_14,14,358,358,1.000000
1_107_1_108_14,14,236,316,0.746835
1_108_1_109_14,14,202,363,0.556474
1_109_1_110_14,14,371,371,1.000000
1_110_1_111_14,14,289,373,0.774799
1_111_1_112_14,14,379,379,1.000000
1_112_1_113_14,14,371,371,1.000000
1_113_1_114_14,14,283,400,0.707500
1_116_1_117_14,14,274,274,1.000000
1_117_1_118_14,14,8,229,0.034934
1_118_1_119_14,14,23,152,0.151316
1_119_1_120_14,14,302,302,1.000000
1_174_1_175_19,19,334,334,1.000000
1_175_1_176_19,19,0,182,0.000000
1_176_1_177_19,19,0,0,0.000000
1_177_1_178_19,19,0,127,0.000000
1_178_1_180_19,19,226,226,1.000000
1_180_1_181_19,19,282,312,0.903846
1_181_1_182_19,19,365,365,1.000000
1_182_1_183_19,19,273,351,0.777778
1_183_1_184_19,19,200,350,0.571429
1_184_1_185_19,19,204,368,0.554348
1_185_1_186_19,19,296,299,0.989967
1_186_1_187_19,19,285,323,0.882353
1_187_1_188_19,19,297,297,1.000000
1_188_1_189_19,19,256,299,0.856187
1_189_1_190_19,19,305,332,0.918675
1_190_1_191_19,19,250,276,0.905797
1_191_1_192_19,19,329,356,0.924157
1_192_1_193_19,19,303,312,0.971154
1_193_1_194_19,19,461,461,1.000000
1_194_1_196_19,19,12,109,0.110092
1_196_1_197_19,19,363,363,1.000000
1_197_1_198_19,19,371,371,1.000000
1_198_1_199_19,19,386,386,1.000000
1_201_1_202_15,15,303,303,1.000000
1_202_1_203_15,15,0,110,0.000000
1_203_1_204_15,15,289,289,1.000000
1_204_1_205_15,15,1,207,0.004831
1_205_1_207_15,15,271,271,1.000000
1_207_1_208_15,15,238,238,1.000000
1_208_1_209_15,15,205,205,1.000000
1_209_1_210_15,15,0,118,0.000000
1_210_1_211_15,15,225,225,1.000000
1_211_1_212_15,15,341,341,1.000000
1_212_1_213_15,15,439,458,0.958515
1_213_1_214_15,15,451,451,1.000000
1_214_1_215_15,15,241,329,0.732523
1_215_1_216_15,15,474,476,0.995798
1_216_1_217_15,15,0,422,0.000000
1_217_1_218_15,15,0,27,0.000000
1_218_1_219_15,15,425,425,1.000000
1_219_1_220_15,15,304,334,0.910180
1_220_1_221_15,15,0,212,0.000000
1_221_1_222_15,15,287,287,1.000000
1_222_1_223_15,15,0,163,0.000000
1_223_1_224_15,15,0,176,0.000000
1_224_1_225_15,15,270,305,0.885246
1_225_1_226_15,15,18,150,0.120000
1_226_1_227_15,15,250,250,1.000000
1_227_1_228_15,15,459,476,0.964286
1_228_1_229_15,15,473,473,1.000000
1_229_1_729_15,15,482,482,1.000000
1_729_1_730_15,15,224,224,1.000000
1_730_1_731_15,15,175,175,1.000000
1_231_1_232_12,12,448,448,1.000000
1_232_1_234_12,12,440,440,1.000000
1_234_1_235_12,12,445,445,1.000000
1_235_1_236_12,12,453,453,1.000000
1_236_1_237_12,12,435,440,0.988636
1_237_1_238_12,12,414,414,1.000000
1_238_1_239_12,12,405,405,1.000000
1_239_1_240_12,12,311,440,0.706818
1_240_1_241_12,12,428,431,0.993039
1_241_1_242_12,12,392,415,0.944578
1_242_1_243_12,12,366,371,0.986523
1_243_1_244_12,12,1,211,0.004739
1_246_1_247_7,7,469,469,1.000000
1_247_1_249_7,7,437,437,1.000000
1_249_1_250_7,7,454,454,1.000000
1_250_1_251_7,7,340,441,0.770975
1_251_1_252_7,7,415,451,0.920177
1_252_1_253_7,7,454,454,1.000000
1_253_1_254_7,7,440,441,0.997732
1_254_1_255_7,7,451,451,1.000000
1_255_1_256_7,7,465,465,1.000000
1_256_1_257_7,7,448,448,1.000000
1_257_1_258_7,7,448,448,1.000000
1_258_1_259_7,7,376,427,0.880562
1_259_1_260_7,7,429,437,0.981693
1_260_1_261_7,7,388,388,1.000000
1_261_1_262_7,7,415,415,1.000000
1_262_1_263_7,7,415,415,1.000000
1_263_1_264_7,7,371,371,1.000000
1_264_1_265_7,7,383,383,1.000000
1_265_1_266_7,7,377,377,1.000000
1_266_1_267_7,7,420,420,1.000000
1_267_1_268_7,7,379,379,1.000000
1_268_1_269_7,7,371,383,0.968668
1_269_1_270_7,7,384,384,1.000000
1_270_1_271_7,7,394,394,1.000000
1_271_1_735_7,7,321,364,0.881868
1_735_1_736_7,7,237,272,0.871324
1_736_1_746_7,7,0,260,0.000000
1_746_1_747_7,7,240,240,1.000000
1_747_1_748_7,7,267,267,1.000000
