Method,Batch,MVE,MPE,ME,MCORR,MPOSE,VRAM PM,MMA
Soryon(S),1,16.9,22.8,39.8,3.4,14.0,9558.1,1695.4
Soryon(S),2,13.3,18.0,31.3,3.5,15.1,9575.7,1719.4
Soryon(S),4,12.2,12.6,25.0,3.6,15.0,9635.2,1771.9
Soryon(S),8,12.0,8.3,20.3,4.0,14.9,9736.6,1873.5
Soryon(S),12,11.6,6.3,17.9,3.9,14.5,9831.6,1967.6
Soryon(S),16,12.5,6.2,16.4,3.6,13.8,9923.2,2060.4
Soryon(S),24,11.7,3.6,15.3,3.6,14.8,10110.0,2242.2
Soryon(S),32,11.8,2.8,14.6,3.9,15.1,10296.8,2427.3
Soryon(S),40,11.7,2.4,14.1,3.8,13.2,10483.9,2618.7
Soryon(S),48,11.8,2.0,13.8,3.3,13.0,10670.7,2798.5
Soryon(S),56,11.8,1.9,13.7,3.4,13.5,10857.4,2983.9
Soryon(S),64,11.9,1.6,13.5,3.5,13.3,11043.6,3145.1
Soryon(S),80,12.0,1.3,13.3,3.5,15.0,11417.7,3553.6
Soryon(S),96,12.1,1.1,13.2,3.4,13.5,11789.3,3907.9
Soryon(S),112,12.0,1.0,13.1,3.3,12.8,12800.3,4279.4
Soryon(S),124,12.4,1.0,13.4,3.4,12.4,13994.6,4429.3
Soryon,1,20.8,22.9,43.7,3.3,13.6,9573.4,1716.1
Soryon,2,16.3,22.4,38.7,3.2,12.5,9626.5,1761.7
Soryon,4,13.4,22.6,36.0,3.6,24.0,9709.3,1852.2
Soryon,8,13.9,21.9,35.8,3.6,23.8,9900.6,2036.9
Soryon,12,14.7,21.9,36.1,3.9,15.7,10076.4,2211.9
Soryon,16,13.9,21.9,35.8,3.6,13.4,10252.5,2389.3
Soryon,24,14.1,22.1,36.2,3.7,13.7,10601.3,2729.8
Soryon,32,14.1,22.6,36.7,3.7,14.2,12008.9,3077.9
Soryon,40,14.0,22.0,36.0,3.3,13.1,14588.2,3437.9
Soryon,48,14.1,22.4,36.5,3.6,13.9,17172.1,3773.9
Soryon,56,13.9,22.2,36.1,3.3,12.6,19749.6,4121.8
Soryon,64,14.2,22.2,36.4,3.5,12.7,22329.7,4425.1
Soryon,80,13.9,22.4,36.3,3.3,12.4,27494.7,5192.2
Soryon,84,13.9,22.2,36.1,3.2,11.6,28781.0,5338.4
Soryon,124,-,-,-,-,-,-,-
