Prompt,Method,Prior,AR,VSD,MSSD,MSPD,ADD,mIou
No name(descnoly),Soryon,Oracle,42.7,30.0,45.8,52.3,32.3,100
No name(descnoly),Soryon,Ours,28.9,22.4,32.1,32.1,19.5,66.8
No name(descnoly),Soryon(S),Ours,28.9,22.5,32.1,32.2,19.6,66.8
Generic(no),Soryon,Oracle,42.8,29.9,46,52.4,32.3,100
Generic(no),Soryon,Ours,28.9,22.4,32.1,32.2,19.8,66.8
Generic(no),Soryon(S),Ours,28.9,22.4,32.1,32.1,19.3,66.8
Misleading(wrong),Soryon,Oracle,40.6,25.8,44.8,51.1,24.0,100
Misleading(wrong),Soryon,Ours,24.2,19.8,27.3,25.5,14.3,57.6
Misleading(wrong),Soryon(S),Ours,24.1,19.7,27.3,25.3,13.8,57.6
Standard(yes),Soryon,Oracle,45.4,31.5,49.8,55.0,34.3,100
Standard(yes),Soryon,Ours,34.2,25.3,38.7,38.7,23.2,67.9
Standard(yes),Soryon(S),Ours,34.2,25.3,38.6,38.7,23.8,67.9
